INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Aguardando o carregamento da tela RELATÓRIOS DE CÁLCULOS
INFO main | Tela RELATÓRIOS DE CÁLCULOS acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 7136, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela Home
INFO main | Tela Home acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 1056, Tempo Aceitável: 10000
INFO main | Acessando a Tela...
INFO main | Relatórios >
INFO main | Relatórios de Cálculos
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatórios de Cálculos'
INFO main | Tela 'Relatórios > Relatórios de Cálculos' acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 4107, Tempo Aceitável: 10000
INFO main | #########################################################################
INFO main | TESTE RELATÓRIOS DE CÁLCULOS ENCERRADO COM SUCESSO EM 0 HORAS 0 MINUTOS 47 SEGUNDOS 
INFO main | #########################################################################
INFO main | #########################################################################
INFO main | RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO - TESTE INICIADO EM Wed Jul 30 16:11:20 BRT 2014
INFO main | #########################################################################
INFO main | ----------------------------------------------------
INFO main | URL: http://166.78.0.215:8092/taxbr-web/pages/index.jsf
INFO main | USUARIO: ADM
INFO main | SENHA: adm@2014
INFO main | NAVEGADOR: chrome
INFO main | TESTE: RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | ----------------------------------------------------
INFO main | Acessando aplicação no endereco http://166.78.0.215:8092/taxbr-web/pages/index.jsf, utilizando o navegador: chrome
INFO main | Aguardando tela de login ser carregada | Tentativa 1 de 101
INFO main | Tela carregada com sucesso!
INFO main | ----------------------------------------------------
INFO main | ACESSANDO A APLICACAO
INFO main | ----------------------------------------------------
INFO main | Digitando usuario: ADM
INFO main | Digitando senha: adm@2014
INFO main | Clicando no botão 'Entrar'
INFO main | Aguardando o acesso a aplicacao...
INFO main | Aplicacao acessada com sucesso!
INFO main | Acessando o módulo ONESOURCE ECF...
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 3340, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Aguardando o carregamento da tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO
INFO main | Tela RELATÓRIO DE IMPOSTOS DIFERIDOS COM BASE NO SALDO CONSOLIDADO acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 7141, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela Home
INFO main | Tela Home acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 1042, Tempo Aceitável: 10000
INFO main | Acessando a Tela...
INFO main | Relatórios >
INFO main | Relatório de Impostos Diferidos com Base no Saldo Consolidado
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Impostos Diferidos com Base no Saldo Consolidado'
